"predictor","Type","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","n_sites_shannon","mean_diff_shannon","median_diff_shannon","n_sites_turnover","mean_diff_turnover","median_diff_turnover","n_sites_richness","mean_diff_richness","median_diff_richness"
"B1_CV","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-0.0583918983731751,-0.0583918983731751,10,0.0544139543576627,0.061339002557545,3,1.92026666666667,1.9261
"B1_CV","ext",0.272727272727273,0.909090909090909,0.272727272727273,3,0.207037213947517,0.11122885989263,10,0.103839850337445,0.091772222222222,3,2.58893333333333,0.9468
"B1_CV","semi_nat",0.375,1,0.25,3,0.0823707384288001,-0.0167992783696999,8,0.0787479285752243,0.091235294117647,2,4.4076,4.4076
"B1_RaoQ_w3","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.504139260219013,-0.70006000821959,9,-1.49328401206637,-1.41233846153846,3,0.409566666666667,0.784
"B1_RaoQ_w3","ext",0.363636363636364,0.818181818181818,0.272727272727273,4,1.53090433276212,-0.301372842618655,9,-1.0263403372319,-1.07725555555556,3,1.7259,0.4772
"B1_RaoQ_w3","semi_nat",0.125,0.75,0.25,1,0.00192444502395994,0.00192444502395994,6,-0.444228599642205,-0.551796296296296,2,1.7964,1.7964
"B1_RaoQ_w5","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.433672593552347,-0.23026000821959,9,-2.18868401206637,-1.92973846153846,3,-0.0537333333333334,0.1712
"B1_RaoQ_w5","ext",0.363636363636364,0.818181818181818,0.272727272727273,4,1.69327933276212,-0.695972842618655,9,-1.70770700389857,-1.78825555555556,3,1.31033333333333,0.4652
"B1_RaoQ_w5","semi_nat",0.25,0.875,0.375,2,-0.26199425317195,-0.26199425317195,7,-0.720775836730356,-0.96367037037037,3,2.49656666666667,3.919
"B1_RaoQ_w7","int",0.181818181818182,0.727272727272727,0.181818181818182,2,-0.585178886218725,-0.585178886218725,8,-2.87283201357466,-2.85668286713287,2,-1.3041,-1.3041
"B1_RaoQ_w7","ext",0.363636363636364,0.818181818181818,0.272727272727273,4,2.02617933276212,-0.820772842618655,9,-2.03649589278745,-2.05975,3,1.23013333333333,0.5707
"B1_RaoQ_w7","semi_nat",0.25,0.875,0.375,2,-0.50314425317195,-0.50314425317195,7,-0.889104408158927,-1.1732,3,2.4522,3.6543
"B1_RaoQ_w9","int",0.181818181818182,0.727272727272727,0.181818181818182,2,-0.752378886218725,-0.752378886218725,8,-3.11673201357466,-3.11993741258741,2,-1.38925,-1.38925
"B1_RaoQ_w9","ext",0.363636363636364,0.818181818181818,0.272727272727273,4,2.39955433276212,-0.853022842618655,9,-2.18850700389857,-1.99885,3,1.2595,0.6558
"B1_RaoQ_w9","semi_nat",0.25,0.875,0.375,2,-0.68154425317195,-0.68154425317195,7,-0.96766155101607,-1.1348,3,2.43256666666667,3.3671
"B1_glcm_ASM","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.18866534124903,-0.12873398391069,9,0.0763320373163509,0.058163636363636,3,0.638,1.915
"B1_glcm_ASM","ext",0.454545454545455,0.727272727272727,0.181818181818182,5,0.124143617704504,0.00945732707986002,8,0.166331251048897,0.177517741935484,2,3.4562,3.4562
"B1_glcm_ASM","semi_nat",0.125,0.75,0.25,1,0.38882444502396,0.38882444502396,6,0.137454733691128,0.169651960784314,2,0.991,0.991
"B1_glcm_contrast","int",0.636363636363636,0.454545454545455,0.454545454545455,7,0.424818595286755,0.866072305577931,5,-0.950582332830568,-1.2322,5,-1.1293,-1.1085
"B1_glcm_contrast","ext",0.818181818181818,0.545454545454545,0.545454545454545,9,1.14668472706928,0.0104364882682704,6,0.347177277982872,-0.118017632850242,6,-4.53665,-4.52095
"B1_glcm_contrast","semi_nat",0.25,0.375,0.375,2,1.07604392242582,1.07604392242582,3,-1.89783504968383,-2.2519,3,-2.6371,-4.2149
"B1_glcm_dissimilarity","int",0.363636363636364,0.545454545454545,0.272727272727273,4,-0.0698755383923174,0.01293189608122,6,0.030104116580587,0.0551911764705885,3,-1.01283333333333,-1.948
"B1_glcm_dissimilarity","ext",0.727272727272727,0.636363636363636,0.454545454545455,8,-0.0392378351896338,-0.0299197445660751,7,0.164051952556748,0.209077777777778,5,-4.38466,-4.8963
"B1_glcm_dissimilarity","semi_nat",0.125,0.5,0.25,1,-0.2698668699342,-0.2698668699342,4,-0.0283179539295392,-0.057191463414634,2,-4.89265,-4.89265
"B1_glcm_entropy","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.19936534124903,-0.11712378852676,9,0.0279098150941287,-0.002036363636364,3,0.612033333333333,1.8397
"B1_glcm_entropy","ext",0.363636363636364,0.818181818181818,0.181818181818182,4,0.137778099829143,0.034443093486245,9,0.114812394094746,0.138144444444444,2,3.38525,3.38525
"B1_glcm_entropy","semi_nat",0.25,0.875,0.125,2,0.15866258332713,0.15866258332713,7,0.0804489554087219,0.110670588235294,1,4.9342,4.9342
"B1_glcm_homogeneity","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.162198674582363,-0.10753398391069,9,0.099043148427462,0.116263636363636,3,0.650233333333333,1.9656
"B1_glcm_homogeneity","ext",0.454545454545455,0.727272727272727,0.272727272727273,5,0.0913297775169681,-0.00744267292013998,8,0.167070887801033,0.201573325062035,3,-0.0135,0.9583
"B1_glcm_homogeneity","semi_nat",0.25,0.875,0.125,2,0.18841258332713,0.18841258332713,7,0.114848955408722,0.158770588235294,1,4.9823,4.9823
"B2_CV","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-0.127041898373175,-0.127041898373175,10,-0.0118360456423373,-7.03557312254979e-05,3,1.8616,1.8512
"B2_CV","ext",0.272727272727273,0.909090909090909,0.272727272727273,3,0.138837213947517,0.0144288598926299,10,0.020439850337445,0.00684782608695648,3,2.52626666666667,0.915
"B2_CV","semi_nat",0.375,1,0.25,3,0.0432374050954668,-0.0527992783696999,8,0.0267979285752243,0.0286519607843135,2,4.3669,4.3669
"B2_RaoQ_w3","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-1.28179189837318,-1.28179189837318,10,-1.88032604564234,-2.01666818181818,3,-0.125066666666667,-0.3265
"B2_RaoQ_w3","ext",0.363636363636364,0.818181818181818,0.272727272727273,4,1.08942933276212,-0.618422842618655,9,-1.65501811500968,-1.92345,3,1.48943333333333,0.0731999999999999
"B2_RaoQ_w3","semi_nat",0.125,0.75,0.25,1,-0.23027555497604,-0.23027555497604,6,-0.838478599642205,-0.816574796747967,2,1.6912,1.6912
"B2_RaoQ_w5","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-1.65054189837318,-1.65054189837318,10,-2.64313604564234,-2.85015,3,-0.8402,-1.1288
"B2_RaoQ_w5","ext",0.363636363636364,0.818181818181818,0.272727272727273,4,1.15787933276213,-1.19882284261865,9,-2.47952922612079,-2.47715,3,1.0967,0.1666
"B2_RaoQ_w5","semi_nat",0.25,0.875,0.375,2,-0.49329425317195,-0.49329425317195,7,-1.10357583673036,-1.19312941176471,3,2.34053333333333,3.6304
"B2_RaoQ_w7","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-1.88984189837317,-1.88984189837317,10,-2.96377604564234,-3.17205,3,-1.11873333333333,-1.3766
"B2_RaoQ_w7","ext",0.363636363636364,0.818181818181818,0.272727272727273,4,1.55867933276213,-1.30835860902504,9,-2.82755144834301,-2.70102258064516,3,1.0076,0.528
"B2_RaoQ_w7","semi_nat",0.25,0.875,0.375,2,-0.64859425317195,-0.64859425317195,7,-1.17990440815893,-1.46406666666667,3,2.3678,3.3251
"B2_RaoQ_w9","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-2.14109189837317,-2.14109189837317,10,-3.09493604564234,-3.2259,3,-1.21043333333333,-1.4134
"B2_RaoQ_w9","ext",0.363636363636364,0.818181818181818,0.272727272727273,4,2.06637933276212,-1.00800860902504,9,-2.94157367056523,-3.04792258064516,3,1.0034,0.8768
"B2_RaoQ_w9","semi_nat",0.25,0.875,0.375,2,-0.63654425317195,-0.63654425317195,7,-1.10637583673036,-1.34876666666667,3,2.49423333333333,3.311
"B2_glcm_ASM","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-0.2240310199182,-0.2240310199182,10,0.0734883988021071,0.066131818181818,3,0.6093,1.883
"B2_glcm_ASM","ext",0.454545454545455,0.545454545454545,0.181818181818182,5,-0.243109891837768,-0.0450943107940502,6,0.151997520908005,0.139492741935484,2,-8.06205,-8.06205
"B2_glcm_ASM","semi_nat",0.25,0.875,0.375,2,0.18070574682805,0.18070574682805,7,0.131867020412501,0.158933333333333,3,1.98056666666667,3.9676
"B2_glcm_contrast","int",0.363636363636364,0.727272727272727,0.454545454545455,4,-0.699255540670134,0.546467027134146,8,-1.34726791058827,-0.78785,5,-1.00924,-1.1396
"B2_glcm_contrast","ext",0.727272727272727,0.636363636363636,0.272727272727273,8,2.78429611320882,0.64939843805789,7,-0.368644230487261,-1.26335,3,-1.47563333333333,-4.3902
"B2_glcm_contrast","semi_nat",0.375,0.5,0.5,3,0.246104096625204,0.168924445023961,4,-1.81475864020405,-1.75246111111111,4,-0.812124999999999,-1.251
"B2_glcm_dissimilarity","int",0.363636363636364,0.727272727272727,0.454545454545455,4,-0.137714984465498,-0.18159699606514,8,0.00804058743544023,0.073072222222222,5,0.14522,1.7561
"B2_glcm_dissimilarity","ext",0.636363636363636,0.727272727272727,0.181818181818182,7,0.0753910363850457,-0.0486992425259798,8,0.0833407338075173,0.0863200483091785,2,-0.0285000000000002,-0.0285000000000002
"B2_glcm_dissimilarity","semi_nat",0.25,0.625,0.375,2,-0.0729212124551199,-0.0729212124551199,5,-0.0479802454965725,-0.0528,3,-1.70033333333333,-2.9741
"B2_glcm_entropy","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-0.2653310199182,-0.2653310199182,10,0.0216683988021071,-0.00246818181818198,3,0.558466666666667,1.7925
"B2_glcm_entropy","ext",0.272727272727273,0.727272727272727,0.0909090909090909,3,-0.0800043518511632,-0.07594267292014,8,0.0967519868348498,0.076289964157706,1,0.7099,0.7099
"B2_glcm_entropy","semi_nat",0.375,1,0.25,3,0.0785707384288001,-0.00389927836969994,8,0.0668854285752243,0.0708314814814815,2,4.39545,4.39545
"B2_glcm_homogeneity","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-0.1905810199182,-0.1905810199182,10,0.0962583988021071,0.107763636363636,3,0.643166666666667,1.9537
"B2_glcm_homogeneity","ext",0.363636363636364,0.818181818181818,0.181818181818182,4,0.148403099829143,0.052943093486245,9,0.15735683853919,0.178244444444444,2,3.46335,3.46335
"B2_glcm_homogeneity","semi_nat",0.375,1,0.25,3,0.1169707384288,0.0251870486321404,8,0.117247928575224,0.146801960784314,2,4.46805,4.46805
"B3_CV","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-0.0293918983731751,-0.0293918983731751,10,0.0984239543576627,0.118381818181818,3,1.94966666666667,1.948
"B3_CV","ext",0.272727272727273,0.909090909090909,0.272727272727273,3,0.23777054728085,0.13992885989263,10,0.137969850337445,0.139334615384615,3,2.6248,0.9635
"B3_CV","semi_nat",0.375,1,0.25,3,0.0981707384288001,-0.00729927836969996,8,0.0965479285752243,0.113485294117647,2,4.42655,4.42655
"B3_RaoQ_w3","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.437572593552347,-0.60616000821959,9,-0.742584012066365,-0.683936363636364,3,0.9362,0.8073
"B3_RaoQ_w3","ext",0.363636363636364,0.818181818181818,0.272727272727273,4,1.02650433276213,0.103127157381345,9,-0.880918115009676,-0.886030769230769,3,2.01426666666667,0.2614
"B3_RaoQ_w3","semi_nat",0.25,0.875,0.375,2,-0.19169425317195,-0.19169425317195,7,-0.33776155101607,-0.382029411764706,3,2.11383333333333,3.7264
"B3_RaoQ_w5","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.634472593552347,-0.65696000821959,9,-1.26969512317748,-1.33463636363636,3,0.461133333333333,0.0714999999999999
"B3_RaoQ_w5","ext",0.363636363636364,0.818181818181818,0.272727272727273,4,0.809779332762125,-0.545972842618655,9,-1.64701811500968,-1.72883076923077,3,1.70213333333333,0.3912
"B3_RaoQ_w5","semi_nat",0.25,0.875,0.375,2,-0.87884425317195,-0.87884425317195,7,-0.935104408158927,-1.0437,3,1.73183333333333,3.2064
"B3_RaoQ_w7","int",0.363636363636364,0.727272727272727,0.363636363636364,4,-0.831852691103124,-0.898576495987523,8,-1.67397980769231,-1.78336818181818,4,-1.6327,-0.0337000000000001
"B3_RaoQ_w7","ext",0.363636363636364,0.818181818181818,0.272727272727273,4,0.817604332762125,-0.994972842618655,9,-1.99861811500968,-2.06933076923077,3,1.67233333333333,0.7905
"B3_RaoQ_w7","semi_nat",0.25,0.875,0.375,2,-1.29489425317195,-1.29489425317195,7,-1.25607583673036,-1.5268,3,1.5194,2.7773
"B3_RaoQ_w9","int",0.454545454545455,0.818181818181818,0.454545454545455,5,-0.664649803144427,-0.45246000821959,9,-1.56682155745489,-1.46683636363636,5,-1.50152,0.00890000000000057
"B3_RaoQ_w9","ext",0.454545454545455,0.727272727272727,0.181818181818182,5,0.731003617704503,-0.71957454512994,8,-2.4752187489511,-2.3174764957265,2,1.98465,1.98465
"B3_RaoQ_w9","semi_nat",0.25,0.875,0.375,2,-1.52419425317195,-1.52419425317195,7,-1.42041869387321,-1.70977037037037,3,1.42256666666667,2.453
"B3_glcm_ASM","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.169832007915697,-0.11003398391069,9,0.106954259538573,0.117163636363636,3,0.6566,1.9594
"B3_glcm_ASM","ext",0.363636363636364,1,0.181818181818182,4,0.193291395718697,0.077993093486245,11,0.159961305949401,0.168144444444444,2,3.4936,3.4936
"B3_glcm_ASM","semi_nat",0.375,0.75,0.5,3,-0.0158675116623632,0.0301870486321403,6,0.148994857147918,0.171943830703013,4,-1.252175,0.50205
"B3_glcm_contrast","int",0.818181818181818,0.272727272727273,0.636363636363636,9,1.1223433258231,0.93076174869036,3,-0.0605185185185187,-0.3604,7,-0.917814285714286,-0.4046
"B3_glcm_contrast","ext",0.727272727272727,0.454545454545455,0.545454545454545,8,0.354769481481988,0.287915572038002,5,-0.247451209072882,-0.355004347826087,6,-4.01913333333333,-3.583
"B3_glcm_contrast","semi_nat",0.5,0.125,0.625,4,1.59645282096543,1.7112095507113,1,-0.201266666666667,-0.201266666666667,5,-5.39672,-4.3102
"B3_glcm_dissimilarity","int",0.727272727272727,0.363636363636364,0.545454545454545,8,-0.221487325639681,-0.113078108474415,4,0.126304292929293,0.116,6,-1.60118333333333,-1.4301
"B3_glcm_dissimilarity","ext",0.545454545454545,0.454545454545455,0.363636363636364,6,-0.103337918362142,-0.129218491857095,5,0.125983506646181,0.169575862068966,4,-3.222425,-3.449
"B3_glcm_dissimilarity","semi_nat",0.5,0.125,0.625,4,-0.35477217903457,-0.3039090826051,1,0.103333333333333,0.103333333333333,5,-7.28976,-6.8016
"B3_glcm_entropy","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.17106534124903,-0.10652378852676,9,0.0809764817607953,0.072463636363636,3,0.6461,1.9042
"B3_glcm_entropy","ext",0.272727272727273,0.909090909090909,0.272727272727273,3,0.240003880614183,0.0411288598926299,10,0.151429850337445,0.152806837606837,3,2.64393333333333,0.9748
"B3_glcm_entropy","semi_nat",0.375,0.75,0.5,3,-0.0478008449956965,-0.00841295136785966,6,0.112294857147918,0.123393830703013,4,-1.276675,0.48165
"B3_glcm_homogeneity","int",0.363636363636364,0.727272727272727,0.363636363636364,4,-0.12115592954229,-0.0510308391663801,8,0.126461041980895,0.144531818181818,4,-0.2495,-0.000400000000000067
"B3_glcm_homogeneity","ext",0.363636363636364,0.636363636363636,0.363636363636364,4,-0.0763530249046699,-0.0874030923259348,7,0.195351200965156,0.208869230769231,4,-2.751925,-2.50235
"B3_glcm_homogeneity","semi_nat",0.5,0.875,0.375,4,-0.0109754533391974,0.0145938851312202,7,0.136854775514542,0.159670588235294,3,-0.672866666666667,3.9895
"B4_CV","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-0.0387418983731751,-0.0387418983731751,10,0.109903954357663,0.127131818181818,3,1.97553333333333,1.9834
"B4_CV","ext",0.272727272727273,0.909090909090909,0.272727272727273,3,0.27957054728085,0.16452885989263,10,0.176899850337445,0.188160931899641,3,2.61966666666667,0.9912
"B4_CV","semi_nat",0.625,0.25,0.75,5,-0.414416016557218,-0.45801402864319,2,0.156735185185186,0.156735185185186,6,-5.16331666666667,-3.9948
"B4_RaoQ_w3","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-1.14889189837318,-1.14889189837318,10,-0.926086045642337,-0.881578054298642,3,0.8616,0.7256
"B4_RaoQ_w3","ext",0.272727272727273,0.727272727272727,0.181818181818182,3,-0.579036041273854,-0.37907114010737,8,-0.938744835907625,-0.799677777777778,2,-1.02645,-1.02645
"B4_RaoQ_w3","semi_nat",0.25,0.875,0.375,2,-0.91859425317195,-0.91859425317195,7,-0.501590122444642,-0.384322222222222,3,1.6014,2.9175
"B4_RaoQ_w5","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-1.11880592688568,-1.16192378852676,9,-1.30769512317748,-1.13593636363636,3,0.2417,-0.1764
"B4_RaoQ_w5","ext",0.272727272727273,0.727272727272727,0.181818181818182,3,-0.645336041273853,-0.36917114010737,8,-1.27654483590763,-1.21517777777778,2,-1.7739,-1.7739
"B4_RaoQ_w5","semi_nat",0.25,0.875,0.375,2,-1.24834425317195,-1.24834425317195,7,-0.70576155101607,-0.523622222222222,3,1.4801,2.6943
"B4_RaoQ_w7","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.759672593552347,-1.26622378852676,9,-1.42060623428859,-1.26791764705882,3,-0.0336999999999999,-0.1347
"B4_RaoQ_w7","ext",0.272727272727273,0.727272727272727,0.181818181818182,3,-0.46160270794052,-0.15257114010737,8,-1.30698233590763,-1.41107777777778,2,-1.90815,-1.90815
"B4_RaoQ_w7","semi_nat",0.25,0.875,0.375,2,-1.29829425317195,-1.29829425317195,7,-0.700090122444642,-0.470522222222222,3,1.5634,2.6329
"B4_RaoQ_w9","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.525572593552347,-1.28202378852676,9,-1.48062845651081,-1.27821764705882,3,-0.1841,0.0257999999999998
"B4_RaoQ_w9","ext",0.363636363636364,0.636363636363636,0.0909090909090909,4,-0.207626841586886,-0.0730351913166754,7,-1.49530652054039,-1.7315,1,-4.656,-4.656
"B4_RaoQ_w9","semi_nat",0.375,0.75,0.5,3,-0.9669517920927,-1.20827555497604,6,-0.73219341445702,-0.72209074074074,4,-0.460625,0.88315
"B4_glcm_ASM","int",0.454545454545455,0.454545454545455,0.454545454545455,5,-0.390345140291773,-0.12283398391069,5,0.14724,0.1238,5,-1.61128,-0.9979
"B4_glcm_ASM","ext",0.545454545454545,0.636363636363636,0.272727272727273,6,0.0846749565829566,-0.0069184918570951,7,0.180702074931458,0.202977419354839,3,0.6554,0.9922
"B4_glcm_ASM","semi_nat",0.5,0.625,0.375,4,-0.159495662726657,-0.137801707468355,5,0.134869567382509,0.165070588235294,3,-3.66666666666667,-2.9917
"B4_glcm_contrast","int",0.454545454545455,0.454545454545455,0.181818181818182,5,-0.88416763951962,0.76116749412149,5,-2.53212985352244,-2.30362727272727,2,-2.74645,-2.74645
"B4_glcm_contrast","ext",0.363636363636364,0.636363636363636,0.363636363636364,4,0.0971263078033301,-0.199102957483405,7,-0.62481070379675,-0.746630769230769,4,-1.931425,-1.44095
"B4_glcm_contrast","semi_nat",0.5,0.375,0.625,4,-0.339850434691895,-0.332256077574175,3,-1.44981152027207,-2.04102941176471,5,-2.91384,-4.9605
"B4_glcm_dissimilarity","int",0.454545454545455,0.454545454545455,0.181818181818182,5,-0.25458763951962,-0.22773250587851,5,-0.0500498535224366,-0.017604347826087,2,0.29305,0.29305
"B4_glcm_dissimilarity","ext",0.272727272727273,0.727272727272727,0.272727272727273,3,-0.03935333130908,-0.13304267292014,8,0.136078134177845,0.162902357320099,3,0.219066666666667,0.631
"B4_glcm_dissimilarity","semi_nat",0.375,0.5,0.5,3,-0.184652151184477,-0.34421402864319,4,0.0345746931292843,0.024197425474255,4,-3.987525,-4.91995
"B4_glcm_entropy","int",0.454545454545455,0.454545454545455,0.454545454545455,5,-0.389605140291773,-0.11663398391069,5,0.10354,0.081663636363636,5,-1.62426,-0.9987
"B4_glcm_entropy","ext",0.545454545454545,0.545454545454545,0.272727272727273,6,0.0700749565829566,-0.0280184918570951,6,0.14589501334596,0.172273504273504,3,0.631966666666667,0.9604
"B4_glcm_entropy","semi_nat",0.5,0.625,0.375,4,-0.162795662726657,-0.139051707468355,5,0.111769567382509,0.12292962962963,3,-3.6668,-2.9814
"B4_glcm_homogeneity","int",0.545454545454545,0.545454545454545,0.545454545454545,6,-0.323697618279743,-0.0628969960651402,6,0.166016666666666,0.1725,6,-1.0044,0.4854
"B4_glcm_homogeneity","ext",0.454545454545455,0.727272727272727,0.454545454545455,5,0.105515956217208,0.00665732707986003,8,0.18547732188238,0.218238709677419,5,-0.81048,0.9622
"B4_glcm_homogeneity","semi_nat",0.625,0.5,0.5,5,-0.218289904168166,-0.27850413656701,4,0.138479551820728,0.165351960784314,4,-4.503875,-4.995
"SSD","int",0.0909090909090909,0.818181818181818,0.272727272727273,1,-0.20576000821959,-0.20576000821959,9,0.0343528785792212,-0.00810000000000011,3,1.83036666666667,1.7968
"SSD","ext",0.272727272727273,0.545454545454545,0.0909090909090909,3,0.0204545912532766,-0.11839924252598,6,-0.0291038438562632,-0.0418903846153845,1,0.3776,0.3776
"SSD","semi_nat",0.375,0.75,0.5,3,-0.248918458759366,-0.2249668699342,6,-0.168726747790354,-0.230302574525745,4,-0.364025,0.4044
